City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Description
136,Mitsamiouli,-11.3847,43.2844,297.32,79,27,4.13,KM,2021-09-16 23:47:52,scattered clouds
137,Fairbanks,64.8378,-147.7164,286.54,51,75,0.0,US,2021-09-16 23:46:23,broken clouds
138,La+Macarena,2.1837,-73.7849,294.39,93,79,0.82,CO,2021-09-16 23:53:25,broken clouds
139,Caravelas,-17.7125,-39.2481,295.65,84,0,2.56,BR,2021-09-16 23:46:39,clear sky
140,Guerrero+Negro,27.9769,-114.0611,296.54,66,8,9.69,MX,2021-09-16 23:43:40,clear sky
141,Lyantonde,-0.4031,31.1572,291.05,87,96,1.9,UG,2021-09-16 23:53:27,overcast clouds
142,Koutsouras,35.0339,25.9469,297.43,56,0,5.0,GR,2021-09-16 23:53:27,clear sky
143,Beloha,-25.1667,45.05,291.56,84,0,1.79,MG,2021-09-16 23:48:30,clear sky
144,Ulagan,50.6321,87.9563,280.87,64,96,1.03,RU,2021-09-16 23:53:28,overcast clouds
145,Llallagua,-18.4167,-66.6333,282.13,64,84,4.65,BO,2021-09-16 23:53:29,broken clouds
146,Rocha,-34.4833,-54.3333,284.52,84,0,2.59,UY,2021-09-16 23:45:14,clear sky
147,Camana,-16.6228,-72.7111,289.09,85,63,3.59,PE,2021-09-16 23:53:30,broken clouds
148,Bathsheba,13.2167,-59.5167,301.49,78,40,7.2,BB,2021-09-16 23:46:45,scattered clouds
149,Vulcan,45.3833,23.2667,289.47,63,86,0.98,RO,2021-09-16 23:53:31,overcast clouds
150,Wilmington,34.2257,-77.9447,300.29,77,100,0.45,US,2021-09-16 23:47:15,overcast clouds
151,Shingu,33.7333,135.9833,297.7,88,99,2.7,JP,2021-09-16 23:51:11,overcast clouds
152,Nang+Rong,14.6377,102.7914,298.38,87,100,1.75,TH,2021-09-16 23:53:32,overcast clouds
153,Namibe,-15.1961,12.1522,289.36,91,24,2.61,AO,2021-09-16 23:51:18,few clouds
154,Palembang,-2.9167,104.7458,298.2,94,20,0.0,ID,2021-09-16 23:53:33,mist
155,Tshane,-24.0196,21.8684,283.29,17,3,4.09,BW,2021-09-16 23:53:33,clear sky
156,Airai,-8.9266,125.4092,295.01,32,65,1.92,TL,2021-09-16 23:48:51,broken clouds
157,Port+Saint+Lucie,27.2939,-80.3503,299.24,84,40,0.89,US,2021-09-16 23:53:34,scattered clouds
158,Sicamous,50.8331,-118.9856,293.87,32,14,1.2,CA,2021-09-16 23:53:34,few clouds
159,Baykit,61.67,96.37,276.02,85,100,1.29,RU,2021-09-16 23:53:35,overcast clouds
160,Svit,49.0601,20.2069,289.32,94,20,1.54,SK,2021-09-16 23:53:35,few clouds
161,Ulladulla,-35.35,150.4667,293.08,53,0,3.05,AU,2021-09-16 23:48:42,clear sky
162,Buala,-8.145,159.5921,302.45,67,53,3.67,SB,2021-09-16 23:48:56,light rain
163,Moussoro,13.6408,16.4901,304.85,28,63,2.8,TD,2021-09-16 23:53:36,broken clouds
164,Port+Alfred,-33.5906,26.891,285.59,76,37,7.29,ZA,2021-09-16 23:46:35,scattered clouds
165,Darhan,49.4867,105.9228,284.9,75,97,2.3,MN,2021-09-16 23:53:37,overcast clouds
166,Santa+Rosa,14.3122,121.1114,301.4,77,100,1.58,PH,2021-09-16 23:53:38,overcast clouds
167,Hambantota,6.1241,81.1185,299.53,84,99,5.24,LK,2021-09-16 23:47:13,overcast clouds
168,Ipameri,-17.7219,-48.1597,299.87,24,2,3.36,BR,2021-09-16 23:49:10,clear sky
169,Nome,64.5011,-165.4064,282.68,53,90,1.54,US,2021-09-16 23:47:23,overcast clouds
170,Dorado,18.4588,-66.2677,302.09,87,24,4.47,PR,2021-09-16 23:53:39,few clouds
171,San+Jose,37.3394,-121.895,300.42,55,1,0.89,US,2021-09-16 23:49:50,clear sky
172,Leshukonskoye,64.8989,45.7622,277.88,95,100,3.01,RU,2021-09-16 23:53:39,overcast clouds
173,Carlsbad,33.1581,-117.3506,303.3,69,1,2.24,US,2021-09-16 23:53:40,clear sky
174,Ganzhou,28.8184,115.4327,297.71,73,0,1.28,CN,2021-09-16 23:53:40,clear sky
175,Broken+Hill,-31.95,141.4333,293.99,23,40,11.83,AU,2021-09-16 23:51:23,scattered clouds
176,Nacala,-14.5428,40.6728,297.78,74,53,4.19,MZ,2021-09-16 23:53:41,broken clouds
177,Coruripe,-10.1256,-36.1756,296.36,87,20,5.44,BR,2021-09-16 23:53:42,few clouds
178,Bloomfield,40.8068,-74.1854,296.4,82,90,1.34,US,2021-09-16 23:53:42,overcast clouds
179,Asosa,10.0667,34.5333,289.64,92,100,1.3,ET,2021-09-16 23:53:43,light rain
180,Bay+Roberts,47.5999,-53.2648,291.17,93,98,2.24,CA,2021-09-16 23:53:43,overcast clouds
181,Mount+Gambier,-37.8333,140.7667,289.1,51,40,6.69,AU,2021-09-16 23:48:17,scattered clouds
182,Havre-Saint-Pierre,50.2334,-63.5986,287.15,93,1,6.17,CA,2021-09-16 23:49:22,clear sky
183,Gwadar,25.1216,62.3254,301.23,68,3,3.11,PK,2021-09-16 23:53:44,clear sky
184,Luoyang,34.6836,112.4536,293.08,93,100,2.98,CN,2021-09-16 23:53:45,light rain
185,Wajima,37.4,136.9,297.53,73,75,2.06,JP,2021-09-16 23:50:53,broken clouds
186,Mopipi,-21.1833,24.8833,292.85,15,5,6.03,BW,2021-09-16 23:53:46,clear sky
187,Kodiak,57.79,-152.4072,284.88,87,90,4.12,US,2021-09-16 23:46:54,light rain
